name,country,region,locality,status,has_downhill,has_nordic,downhill_distance_km,nordic_distance_km,vertical_m,min_elevation_m,max_elevation_m,lift_count,surface_lifts_count,run_convention,wikidata_id,websites,openskimap,id,geometry,lat,lng,sources
Piancavallo,Italy,,Aviano,operating,yes,no,15,,545,1267,1812,19,13,europe,,http://www.piancavallodolomitifriulane.it/,https://openskimap.org/?obj=0aa5aaeb0e973a831d28b19dd334d2dea6291f21,0aa5aaeb0e973a831d28b19dd334d2dea6291f21,Polygon,46.108317,12.502404,https://www.openstreetmap.org/way/1272728413 https://www.skimap.org/SkiAreas/view/3066
Skilift Kapellenberg,Germany,Bavaria,Sankt Englmar,operating,yes,yes,0,,46,840,886,1,1,europe,,https://www.skilift-kapellenberg.de/,https://openskimap.org/?obj=3bb5d12ebf94ac863c83612135c418c83404c678,3bb5d12ebf94ac863c83612135c418c83404c678,Polygon,49.003925,12.818423,https://www.openstreetmap.org/way/1347936427 https://www.skimap.org/SkiAreas/view/12471
,Germany,Bavaria,Martinlamitzer Forst Nord,operating,yes,no,1,,98,723,821,2,2,europe,,,https://openskimap.org/?obj=33425010-6e58-4826-ab0a-ed63d649b278,33425010-6e58-4826-ab0a-ed63d649b278,Point,50.183263,12.027473,
Batorz,Poland,Lublin Voivodeship,Batorz Drugi,operating,yes,no,,,52,237,289,2,2,europe,,,https://openskimap.org/?obj=8190ebf65e3a2eb299e2e52e6a721c65d19c8979,8190ebf65e3a2eb299e2e52e6a721c65d19c8979,Polygon,50.852955,22.496352,https://www.openstreetmap.org/way/1371161512 https://www.skimap.org/SkiAreas/view/12513
Valgrisenche Ski,Italy,Aosta Valley,Valgrisenche,operating,yes,yes,2,6,172,1622,1794,3,2,europe,,https://www.valgrisencheski.it/,https://openskimap.org/?obj=1e2a44dc1a9c7d6fad02374a2d181808ec53b3ce,1e2a44dc1a9c7d6fad02374a2d181808ec53b3ce,Polygon,45.629198,7.065078,https://www.openstreetmap.org/way/1355978520 https://www.skimap.org/SkiAreas/view/4206
,Norway,Buskerud,Hemsedal,operating,yes,no,47,,797,644,1441,23,18,europe,,,https://openskimap.org/?obj=8845464b-d64f-4ed5-97dc-45abfcb57639,8845464b-d64f-4ed5-97dc-45abfcb57639,Point,60.852745,8.508429,
,Russia,,Saransk,operating,no,yes,,,,,,,,europe,,,https://openskimap.org/?obj=6da86512-26a0-4e90-a4fc-89c72ba4de91,6da86512-26a0-4e90-a4fc-89c72ba4de91,Point,54.158782,45.128754,
Hemsedal,Norway,Buskerud,Hemsedal,operating,yes,no,47,,797,644,1441,23,18,europe,,http://www.skistar.com/no/hemsedal/,https://openskimap.org/?obj=cb54cbca8d40fb3050fc69908f069b76d16f599d,cb54cbca8d40fb3050fc69908f069b76d16f599d,Polygon,60.853687,8.496036,https://www.openstreetmap.org/way/1238044192 https://www.skimap.org/SkiAreas/view/1845
,Czech Republic,Hradec Králové Region,Nová Paka,operating,no,yes,,,,,,,,europe,,,https://openskimap.org/?obj=8b05b891-f80f-449f-86d0-380d2d71e7a3,8b05b891-f80f-449f-86d0-380d2d71e7a3,Point,50.493487,15.505341,
,Germany,Bavaria,Mauern,operating,yes,no,0,,45,423,468,1,1,europe,,,https://openskimap.org/?obj=e07eb36e-712f-497e-91b3-5487aa07d5e2,e07eb36e-712f-497e-91b3-5487aa07d5e2,Point,48.501262,11.914894,
,Germany,Baden-Württemberg,Gernsbach,operating,yes,no,1,,86,870,956,2,2,europe,,,https://openskimap.org/?obj=01913002-f049-459c-a15a-5178f19fa50e,01913002-f049-459c-a15a-5178f19fa50e,Point,48.705192,8.431017,
,Sweden,Norrbotten County,Karesuando,operating,no,yes,,,,,,,,europe,,,https://openskimap.org/?obj=7ba3c0f4-52a7-44ef-b1dc-801892174fa0,7ba3c0f4-52a7-44ef-b1dc-801892174fa0,Point,68.430841,22.440394,
,Norway,Buskerud,Hvittingfoss,operating,yes,no,,,159,114,273,1,1,europe,,,https://openskimap.org/?obj=4895de17-be0c-4b98-b514-b03db8eda769,4895de17-be0c-4b98-b514-b03db8eda769,Point,59.4996,10.004972,
,Czech Republic,Vysočina Region,Nový Rychnov,operating,yes,no,0,,39,726,765,1,1,europe,,,https://openskimap.org/?obj=0005ad2a-0ca4-4895-8781-a39815584373,0005ad2a-0ca4-4895-8781-a39815584373,Point,49.401819,15.321177,
,Spain,Catalonia,Naut Aran,operating,yes,no,156,,1069,1505,2574,35,16,europe,,,https://openskimap.org/?obj=08479182-de99-4ca0-bce8-d95413616db8,08479182-de99-4ca0-bce8-d95413616db8,Point,42.700543,0.96795,
,Italy,Campania,Bagnoli Irpino,operating,no,yes,,,,,,,,europe,,,https://openskimap.org/?obj=684e1ffb-e310-4e13-baec-56fb92a4bb4a,684e1ffb-e310-4e13-baec-56fb92a4bb4a,Point,40.786015,15.086924,
,Germany,Bavaria,Achslach,operating,yes,no,,,170,848,1018,6,6,europe,,,https://openskimap.org/?obj=baf2f7c6-2801-45b9-b439-59982d996778,baf2f7c6-2801-45b9-b439-59982d996778,Point,49.00724,12.845278,
,Italy,Abruzzo,Campo Rotondo,operating,yes,no,,,187,1399,1586,3,2,europe,,,https://openskimap.org/?obj=5d64060d-4b0b-49bd-97cf-64f3fe887890,5d64060d-4b0b-49bd-97cf-64f3fe887890,Point,41.976124,13.277348,
,Sweden,Västernorrland County,Junsele District,operating,yes,no,,,85,260,345,1,1,europe,,,https://openskimap.org/?obj=14e71639-2b9f-467a-86fb-07950ddaf6f2,14e71639-2b9f-467a-86fb-07950ddaf6f2,Point,63.705111,16.849102,
,Norway,Telemark,Lunde,operating,yes,no,0,,93,115,208,1,1,europe,,,https://openskimap.org/?obj=58489b89-bc9e-4a2e-bf87-2162ba80e8d6,58489b89-bc9e-4a2e-bf87-2162ba80e8d6,Point,59.290072,9.129613,
,Norway,Buskerud,Nesbyen,operating,yes,no,,,50,955,1005,1,1,europe,,,https://openskimap.org/?obj=ccc27469-6d15-4346-a9ce-34aec329dfd4,ccc27469-6d15-4346-a9ce-34aec329dfd4,Point,60.514834,8.961912,
,Norway,Buskerud,Hol,operating,yes,no,,,149,844,993,1,1,europe,,,https://openskimap.org/?obj=c3421f5a-2f63-4fd4-8f51-2878291634ad,c3421f5a-2f63-4fd4-8f51-2878291634ad,Point,60.466015,8.364769,
,Sweden,Västra Götaland County,Götene kommun,operating,yes,no,,,105,195,300,2,2,europe,,,https://openskimap.org/?obj=e01bdf3e-81ae-4b24-aadb-affaf094171b,e01bdf3e-81ae-4b24-aadb-affaf094171b,Point,58.597945,13.418121,
,Russia,Saratov Oblast,Saratov,operating,yes,no,3,,97,179,276,3,3,europe,,,https://openskimap.org/?obj=16177ff3-0d7d-42b6-adec-62e213dd688b,16177ff3-0d7d-42b6-adec-62e213dd688b,Point,51.558655,45.974549,
,Switzerland,,Sagogn,operating,no,yes,,,,,,,,europe,,,https://openskimap.org/?obj=b5f98298-5445-4911-8d25-a5a41e97c048,b5f98298-5445-4911-8d25-a5a41e97c048,Point,46.786876,9.24484,
,Norway,,Krågeland,operating,yes,no,,,141,411,552,2,2,europe,,,https://openskimap.org/?obj=659aeb22-6985-4b95-97aa-746db70bacfb,659aeb22-6985-4b95-97aa-746db70bacfb,Point,58.513338,6.860434,
,Netherlands,Overijssel,Enschede,operating,yes,no,1,,8,30,38,3,3,europe,,,https://openskimap.org/?obj=81a61fc7-2e55-43c3-80b9-16eee2065707,81a61fc7-2e55-43c3-80b9-16eee2065707,Point,52.178913,6.829408,
,Norway,Buskerud,Flå,operating,yes,no,,,138,673,811,3,3,europe,,,https://openskimap.org/?obj=11381028-b248-4afb-886f-d95a26c32bec,11381028-b248-4afb-886f-d95a26c32bec,Point,60.472604,9.498437,
,Germany,Hesse,Breidenbach,operating,yes,no,1,,155,365,520,2,2,europe,,,https://openskimap.org/?obj=5139e13a-ae14-4ef6-b36a-d618a03222d8,5139e13a-ae14-4ef6-b36a-d618a03222d8,Point,50.878805,8.425965,
,Russia,Udmurtia,,operating,no,yes,,4,40,91,131,,,europe,,,https://openskimap.org/?obj=3b17a56d-9456-45db-80a7-0a6e2ff5a56f,3b17a56d-9456-45db-80a7-0a6e2ff5a56f,Point,56.423546,53.756629,
,Russia,Saratov Oblast,Saratov,operating,no,yes,,22,120,180,300,,,europe,,,https://openskimap.org/?obj=64b4fe7f-182f-4fc2-8c5c-9e87b24db78a,64b4fe7f-182f-4fc2-8c5c-9e87b24db78a,Point,51.572687,45.939768,
,Finland,,Asikkala,operating,no,yes,,11,65,120,185,,,europe,,,https://openskimap.org/?obj=d320daec-8cc0-4b46-b3e1-e5e07eedbcb7,d320daec-8cc0-4b46-b3e1-e5e07eedbcb7,Point,61.189741,25.493063,
,Norway,Akershus,Bjørkelangen,operating,yes,no,1,,100,159,259,1,1,europe,,,https://openskimap.org/?obj=10353d17-1184-4870-b7fc-72b2d459dd59,10353d17-1184-4870-b7fc-72b2d459dd59,Point,59.886745,11.543881,
,France,,Montferrier,operating,yes,no,16,,515,1410,1925,12,11,europe,,,https://openskimap.org/?obj=6854e5bb-ef82-4d1b-a7eb-648d04245aca,6854e5bb-ef82-4d1b-a7eb-648d04245aca,Point,42.836516,1.74403,
,Sweden,Dalarna County,Falu kommun,operating,yes,no,1,,123,212,335,1,1,europe,,,https://openskimap.org/?obj=e8dfed24-32ea-47de-a038-a11089b23315,e8dfed24-32ea-47de-a038-a11089b23315,Point,60.693006,15.935194,
,Russia,Kaluga Oblast,Maloyaroslavets,operating,no,yes,,,,,,,,europe,,,https://openskimap.org/?obj=146df41b-6a2d-41d3-940d-a78eda63c911,146df41b-6a2d-41d3-940d-a78eda63c911,Point,55.026302,36.477216,
,Germany,North Rhine-Westphalia,Bottrop,operating,yes,no,,,37,46,83,3,3,europe,,,https://openskimap.org/?obj=792d3038-1828-41c5-8f52-66eb9609e013,792d3038-1828-41c5-8f52-66eb9609e013,Point,51.523896,6.966082,
,Germany,Baden-Württemberg,Baiersbronn,operating,yes,no,1,,54,894,948,1,1,europe,,,https://openskimap.org/?obj=b91f8948-5811-4f12-a53b-af9eb5adcbc6,b91f8948-5811-4f12-a53b-af9eb5adcbc6,Point,48.494794,8.236333,
,Germany,Baden-Württemberg,Bad Wildbad,operating,yes,no,1,,86,685,771,2,2,europe,,,https://openskimap.org/?obj=6589ea88-2269-4d1a-b399-df8b08c15aee,6589ea88-2269-4d1a-b399-df8b08c15aee,Point,48.749792,8.529909,
,Germany,Saxony,Flöha,operating,yes,no,0,,65,316,381,2,2,europe,,,https://openskimap.org/?obj=138e70b7-4a97-404d-b59a-bf7e00d7e69f,138e70b7-4a97-404d-b59a-bf7e00d7e69f,Point,50.846574,13.104214,
,Finland,Uusimaa,Helsinki,operating,no,yes,,56,53,15,68,,,europe,,,https://openskimap.org/?obj=f239e2f8-2857-4143-81d5-a80e5eef7cfc,f239e2f8-2857-4143-81d5-a80e5eef7cfc,Point,60.224607,25.047944,
,Czech Republic,South Bohemian Region,Písek,operating,yes,no,,,60,386,446,1,1,europe,,,https://openskimap.org/?obj=80b61ef4-fdc4-49d1-b66b-580b914b942e,80b61ef4-fdc4-49d1-b66b-580b914b942e,Point,49.305967,14.12577,
,Germany,North Rhine-Westphalia,Reichshof,operating,yes,no,,,12,334,346,1,1,europe,,,https://openskimap.org/?obj=6a97a7dc-48b0-4f57-a69a-e81dfc5f6b12,6a97a7dc-48b0-4f57-a69a-e81dfc5f6b12,Point,50.953347,7.654778,
,Germany,Thuringia,Suhl,operating,yes,no,,,142,747,889,2,2,europe,,,https://openskimap.org/?obj=af49354d-02db-45b0-a1ae-eeb9137d8708,af49354d-02db-45b0-a1ae-eeb9137d8708,Point,50.615233,10.797522,
,Finland,Central Finland,Jyväskylä,operating,no,yes,,17,93,147,240,,,europe,,,https://openskimap.org/?obj=1eb5f77e-3b75-47f1-8fe4-4084cb0db38e,1eb5f77e-3b75-47f1-8fe4-4084cb0db38e,Point,62.397388,25.607235,
,Sweden,Dalarna County,Borlänge,operating,yes,no,0,,18,187,205,1,1,europe,,,https://openskimap.org/?obj=b8dbeb01-4879-46aa-9413-0db343048716,b8dbeb01-4879-46aa-9413-0db343048716,Point,60.489617,15.384116,
,Germany,Thuringia,Suhl,operating,yes,no,,,211,619,830,1,1,europe,,,https://openskimap.org/?obj=2e04746e-0c2b-4641-8e50-5d7c69e426bb,2e04746e-0c2b-4641-8e50-5d7c69e426bb,Point,50.624794,10.763169,
,Germany,Rhineland-Palatinate,Stein-Neukirch,operating,yes,no,,,18,632,650,2,2,europe,,,https://openskimap.org/?obj=d56a1e35-49de-4468-92e5-c08c86819cd6,d56a1e35-49de-4468-92e5-c08c86819cd6,Point,50.672099,8.057741,
,Russia,Murmansk Oblast,Murmansk,operating,no,yes,,,,,,,,europe,,,https://openskimap.org/?obj=366cf6df-b66f-4b97-ab33-7fa09e36a63d,366cf6df-b66f-4b97-ab33-7fa09e36a63d,Point,68.92996,33.115435,
,Germany,Baden-Württemberg,Spaichingen,operating,yes,no,1,,117,738,855,2,2,europe,,,https://openskimap.org/?obj=379902ba-bdac-403b-9798-fd459a1b1e1b,379902ba-bdac-403b-9798-fd459a1b1e1b,Point,48.059141,8.742118,
,Germany,Thuringia,Brotterode-Trusetal,operating,yes,no,1,,113,611,724,1,1,europe,,,https://openskimap.org/?obj=25e7d4d7-3761-4bab-945e-4242dc394d28,25e7d4d7-3761-4bab-945e-4242dc394d28,Point,50.816172,10.449515,
,Germany,Saxony,Klingenthal,operating,yes,no,0,,20,844,864,2,2,europe,,,https://openskimap.org/?obj=2c1ea939-0440-41b8-8c66-11f01d2d265c,2c1ea939-0440-41b8-8c66-11f01d2d265c,Point,50.406475,12.485703,
,Switzerland,Thurgau,Fischingen,operating,yes,no,,,23,776,799,1,1,europe,,,https://openskimap.org/?obj=2998665b-612d-4e22-87cd-85a022df1e3f,2998665b-612d-4e22-87cd-85a022df1e3f,Point,47.423517,8.913335,
,Germany,Saxony,Eibenstock,operating,yes,no,,,122,631,753,6,5,europe,,,https://openskimap.org/?obj=59730e37-d0f5-4b8c-83ce-f7e4ede2b349,59730e37-d0f5-4b8c-83ce-f7e4ede2b349,Point,50.488018,12.595613,
,Germany,Saxony,Neustadt in Sachsen,operating,yes,no,,,86,425,511,2,2,europe,,,https://openskimap.org/?obj=206d9846-6061-4d47-b860-86b0ceacb929,206d9846-6061-4d47-b860-86b0ceacb929,Point,50.998503,14.254058,
,Germany,Hesse,Beerfelden,operating,yes,no,0,,73,446,519,1,1,europe,,,https://openskimap.org/?obj=d854161d-4fec-4c74-b7bc-5ac5211a92fb,d854161d-4fec-4c74-b7bc-5ac5211a92fb,Point,49.56219,8.991298,
,Germany,Rhineland-Palatinate,Schalkenmehren,operating,yes,no,0,,68,472,540,1,1,europe,,,https://openskimap.org/?obj=9cc0a722-8198-4820-b295-ca8d4d288caa,9cc0a722-8198-4820-b295-ca8d4d288caa,Point,50.178159,6.841914,
,Germany,Baden-Württemberg,Heiligenberg,operating,yes,no,1,,39,711,750,2,2,europe,,,https://openskimap.org/?obj=8acab831-710f-4663-8d66-f07e6e089589,8acab831-710f-4663-8d66-f07e6e089589,Point,47.834445,9.34978,
,Germany,Saxony,Eibenstock,operating,yes,no,,,92,847,939,2,2,europe,,,https://openskimap.org/?obj=8e8722cd-7f19-4f58-bb5d-12aa1fbe8fd9,8e8722cd-7f19-4f58-bb5d-12aa1fbe8fd9,Point,50.430325,12.586789,
,Germany,Baden-Württemberg,Heidenheim an der Brenz,operating,yes,no,0,,114,523,637,1,1,europe,,,https://openskimap.org/?obj=7d709b56-cfe0-4bd8-9dac-ca6e07bce457,7d709b56-cfe0-4bd8-9dac-ca6e07bce457,Point,48.67548,10.115699,
,Germany,Baden-Württemberg,Freudenstadt,operating,yes,no,0,,31,903,934,1,1,europe,,,https://openskimap.org/?obj=646e32f0-6889-4f6c-9bed-dbed04f99e74,646e32f0-6889-4f6c-9bed-dbed04f99e74,Point,48.472491,8.293181,
,Russia,,Ukhta,operating,yes,no,,,57,80,137,3,3,europe,,,https://openskimap.org/?obj=d36df3a0-2a68-4025-b1ca-78dc131a6f15,d36df3a0-2a68-4025-b1ca-78dc131a6f15,Point,63.540385,53.674366,
